Stock,Weight
AAVE-USD,31.1
TRB-USD,28.9
QTUM-USD,28.8
BNB-USD,24.5
ZEC-USD,20.5
AXS-USD,17.3
WCFG-USD,16.4
SNT-USD,15.8
WBTC-USD,14.1
MC-USD,12.0
LRC-USD,11.1
CUSDT-USD,10.5
GLM-USD,10.3
STX-USD,7.7
SXP-USD,7.5
C98-USD,6.2
JASMY-USD,5.6
ENS-USD,5.5
GUSD-USD,3.3
FRXETH-USD,2.7
MANA-USD,2.4
SFRXETH-USD,2.4
BAND-USD,2.2
LINK-USD,2.1
SHIB-USD,1.7
BCH-USD,1.6
HOT-USD,1.5
WEMIX-USD,1.4
POLYX-USD,0.9
PUNDIX-USD,0.8
KNC-USD,0.8
KRD-USD,0.8
CRV-USD,0.5
SETH2-USD,0.3
THETA-USD,0.1
CDT-USD,0.1
MKR-USD,0.1
USTC-USD,0.1
DEL-USD,0.1
CAKE-USD,0.0
INJ-USD,0.0
LTC-USD,0.0
CFX-USD,0.0
TFUEL-USD,0.0
ANKR-USD,0.0
FIL-USD,0.0
KAVA-USD,0.0
CELO-USD,0.0
HIVE-USD,0.0
ICX-USD,0.0
TKX-USD,0.0
SURE-USD,0.0
YFI-USD,0.0
FLOW-USD,0.0
JST-USD,0.0
SFP-USD,0.0
SEI-USD,0.0
MNT-USD,0.0
IOST-USD,0.0
XEM-USD,0.0
BTG-USD,0.0
OHM-USD,0.0
TRIBE-USD,0.0
ONE-USD,0.0
LUSD-USD,0.0
UNI-USD,0.0
MINA-USD,0.0
SNX-USD,0.0
BAT-USD,0.0
FTM-USD,0.0
EOS-USD,0.0
OP-USD,0.0
XTZ-USD,0.0
ONT-USD,0.0
ADA-USD,0.0
CTSI-USD,0.0
USDP-USD,0.0
TRAC-USD,0.0
XMR-USD,0.0
GNO-USD,0.0
LSK-USD,0.0
HT-USD,0.0
DOT-USD,0.0
XLM-USD,0.0
BTC-USD,0.0
AR-USD,0.0
ELG-USD,0.0
KCS-USD,0.0
QNT-USD,0.0
BTSE-USD,0.0
UMA-USD,0.0
SSV-USD,0.0
LDO-USD,0.0
ICP-USD,0.0
SC-USD,0.0
FLOKI-USD,0.0
GNS-USD,0.0
1INCH-USD,0.0
CHSB-USD,0.0
POLY-USD,0.0
RPL-USD,0.0
MURA-USD,0.0
API3-USD,0.0
RUNE-USD,0.0
ZEN-USD,0.0
APE-USD,0.0
RLB-USD,0.0
FXS-USD,0.0
EXRD-USD,0.0
CFG-USD,0.0
XRD-USD,0.0
ARK-USD,0.0
LUNC-USD,0.0
CVX-USD,0.0
ANT-USD,0.0
WLD-USD,0.0
STPT-USD,0.0
BICO-USD,0.0
GLMR-USD,0.0
TON-USD,0.0
BAL-USD,0.0
TOMO-USD,0.0
BSV-USD,0.0
EURS-USD,0.0
STETH-USD,0.0
KAS-USD,0.0
BDX-USD,0.0
ETHW-USD,0.0
WAXP-USD,0.0
ARB-USD,0.0
TRX-USD,0.0
RSR-USD,0.0
MX-USD,0.0
IOTX-USD,0.0
DASH-USD,0.0
ZIL-USD,0.0
MIOTA-USD,0.0
GALA-USD,0.0
XEC-USD,0.0
SAND-USD,0.0
WBETH-USD,0.0
DCR-USD,0.0
RETH-USD,0.0
ETC-USD,0.0
ETH-USD,0.0
CBETH-USD,0.0
KLAY-USD,0.0
HNT-USD,0.0
AVAX-USD,0.0
FNSA-USD,0.0

results:
AAVE-USD,0.0
TRB-USD,5.7
QTUM-USD,0.0
BNB-USD,1.9
ZEC-USD,0.0
AXS-USD,4.1
WCFG-USD,1.0
SNT-USD,1.7
WBTC-USD,0.0
MC-USD,0.7
LRC-USD,0.0
CUSDT-USD,0.0
GLM-USD,0.5
STX-USD,1.4
SXP-USD,2.4
C98-USD,0.0
JASMY-USD,10.1
ENS-USD,0.1
GUSD-USD,7.4
FRXETH-USD,5.3
MANA-USD,5.8
SFRXETH-USD,0.0
BAND-USD,3.3
LINK-USD,0.0
SHIB-USD,0.0
BCH-USD,0.0
HOT-USD,3.6
WEMIX-USD,5.9
POLYX-USD,2.1
PUNDIX-USD,0.0
KNC-USD,4.2
KRD-USD,0.3
CRV-USD,2.7
SETH2-USD,0.0
THETA-USD,3.2
CDT-USD,1.9
MKR-USD,0.3
USTC-USD,2.5
DEL-USD,3.5
CAKE-USD,1.5
INJ-USD,3.5
LTC-USD,3.2
CFX-USD,0.3
TFUEL-USD,0.0
ANKR-USD,0.0
FIL-USD,0.6
KAVA-USD,0.0
CELO-USD,0.0
HIVE-USD,1.0
ICX-USD,8.3
